,GAME_ID,HOMEDESCRIPTION,PCTIMESTRING,PERIOD,PLAYER3_TEAM_ABBREVIATION,HOME_TEAM,AWAY_TEAM,JUMP_BALL_HOME_PLAYER_ID,JUMP_BALL_AWAY_PLAYER_ID,JUMP_BALL_RETRIEVED_PLAYER_ID,JUMP_BALL_RETRIEVED_TEAM_NAME
441537,21700966,Jump Ball Drummond vs. Valanciunas: Tip to Griffin,12:00,1.0,Pistons,Pistons,Raptors,203083.0,202685.0,201933.0,Pistons
441968,21700967,Jump Ball Portis vs. Gasol: Tip to McLemore,12:00,1.0,Grizzlies,Bulls,Grizzlies,1626171.0,201188.0,203463.0,Grizzlies
442432,21700968,Jump Ball Henson vs. Capela: Tip to Antetokounmpo,12:00,1.0,Bucks,Rockets,Bucks,203089.0,203991.0,203507.0,Bucks
442920,21700969,Jump Ball Koufos vs. Davis: Tip to Bogdanovic,12:00,1.0,Kings,Pelicans,Kings,201585.0,203076.0,203992.0,Kings
443322,21700970,Jump Ball Jokic vs. Nance Jr.: Tip to G. Hill,12:00,1.0,Cavaliers,Cavaliers,Nuggets,203999.0,1626204.0,201588.0,Cavaliers
443722,21700971,Jump Ball Lopez vs. Vucevic: Tip to Randle,12:00,1.0,Lakers,Lakers,Magic,201572.0,202696.0,203944.0,Lakers
444131,21700972,Jump Ball Howard vs. Allen: Tip to Dinwiddie,12:00,1.0,Nets,Nets,Hornets,2730.0,1628386.0,203915.0,Nets
444621,21700973,Jump Ball Whiteside vs. Embiid: Tip to Covington,12:00,1.0,76ers,Heat,76ers,202355.0,203954.0,203496.0,76ers
445054,21700974,Jump Ball Towns vs. Baynes: Tip to Gibson,12:00,1.0,Timberwolves,Celtics,Timberwolves,1626157.0,203382.0,201959.0,Timberwolves
445508,21700975,Jump Ball Adams vs. Chandler: Tip to Bender,12:00,1.0,Suns,Thunder,Suns,203500.0,2199.0,1627733.0,Suns
445940,21700976,Jump Ball McGee vs. Aldridge: Tip to Green,12:00,1.0,Warriors,Warriors,Spurs,201580.0,200746.0,203110.0,Warriors
446425,21700977,Jump Ball Drummond vs. Lopez: Tip to Smith,12:00,1.0,Pistons,Bulls,Pistons,203083.0,201577.0,202397.0,Pistons
446883,21700978,Jump Ball Turner vs. Dedmon: Tip to Schroder,12:00,1.0,Hawks,Hawks,Pacers,1626167.0,203473.0,203471.0,Hawks
447320,21700979,Jump Ball Valanciunas vs. Capela: Tip to Ibaka,12:00,1.0,Raptors,Rockets,Raptors,202685.0,203991.0,201586.0,Raptors
447743,21700980,Jump Ball Gasol vs. Gobert: Tip to Favors,12:00,1.0,Jazz,Grizzlies,Jazz,201188.0,203497.0,202324.0,Jazz
448164,21700981,Jump Ball Henson vs. Kanter: Tip to Antetokounmpo,12:00,1.0,Bucks,Bucks,Knicks,203089.0,202683.0,203507.0,Bucks
448609,21700982,Jump Ball Okafor vs. Gortat: Tip to Mark Morris,12:00,1.0,Wizards,Pelicans,Wizards,2731.0,101162.0,202693.0,Wizards
449028,21700983,Jump Ball Jokic vs. Lopez: Tip to Ball,12:00,1.0,Lakers,Nuggets,Lakers,203999.0,201572.0,1628366.0,Lakers
449482,21700984,Jump Ball Nurkic vs. McGee: Tip to Lillard,12:00,1.0,Trail Blazers,Warriors,Trail Blazers,203994.0,201580.0,203081.0,Trail Blazers
449934,21700985,Jump Ball Koufos vs. Vucevic: Tip to Jackson,12:00,1.0,Kings,Magic,Kings,201585.0,202696.0,1628382.0,Kings
450402,21700986,Jump Ball Jordan vs. Nance Jr.: Tip to Harris,12:00,1.0,Clippers,Cavaliers,Clippers,201599.0,1626204.0,202699.0,Clippers
450800,21700987,Jump Ball Howard vs. Chandler: Tip to Bender,12:00,1.0,Suns,Hornets,Suns,2730.0,2199.0,1627733.0,Suns
451237,21700988,Jump Ball Adebayo vs. Gortat: Tip to Dragic,12:00,1.0,Heat,Heat,Wizards,1628389.0,101162.0,201609.0,Heat
451726,21700989,Jump Ball Powell vs. Green: Tip to Barnes,12:00,1.0,Mavericks,Mavericks,Grizzlies,203939.0,203210.0,203084.0,Mavericks
452165,21700990,Jump Ball Adams vs. Gasol: Tip to Aldridge,12:00,1.0,Spurs,Thunder,Spurs,203500.0,2200.0,200746.0,Spurs
452681,21700991,Jump Ball Jordan vs. Vucevic: Tip to Harris,12:00,1.0,Clippers,Clippers,Magic,201599.0,202696.0,202699.0,Clippers
453133,21700992,Jump Ball Kornet vs. Valanciunas: Tip to Beasley,12:00,1.0,Knicks,Knicks,Raptors,1628436.0,202685.0,201563.0,Knicks
453660,21700993,Jump Ball Dedmon vs. Lopez: Tip to Taylor,12:00,1.0,Hawks,Hawks,Bulls,203473.0,201577.0,1627819.0,Hawks
454125,21700994,Jump Ball Towns vs. McGee: Tip to Gibson,12:00,1.0,Timberwolves,Warriors,Timberwolves,1626157.0,201580.0,201959.0,Timberwolves
455015,21700995,Jump Ball Davis vs. Gobert: Tip to Mitchell,12:00,1.0,Jazz,Pelicans,Jazz,203076.0,203497.0,1628378.0,Jazz
455467,21700996,Jump Ball Jokic vs. Koufos: Tip to Fox,12:00,1.0,Kings,Nuggets,Kings,203999.0,201585.0,1628368.0,Kings
455916,21700997,Jump Ball Powell vs. Capela: Tip to Paul,12:00,1.0,Rockets,Mavericks,Rockets,203939.0,203991.0,101108.0,Rockets
456376,21700998,Jump Ball Baynes vs. Turner: Tip to Tatum,12:00,1.0,Celtics,Celtics,Pacers,203382.0,1626167.0,1628369.0,Celtics
456816,21700999,Jump Ball Allen vs. Embiid: Tip to Dinwiddie,12:00,1.0,Nets,Nets,76ers,1628386.0,203954.0,203915.0,Nets
457257,21701000,Jump Ball Lopez vs. Nance Jr.: Tip to G. Hill,12:00,1.0,Cavaliers,Cavaliers,Lakers,201572.0,1626204.0,201588.0,Cavaliers
457696,21701001,Jump Ball Capela vs. Gasol: Tip to Mills,12:00,1.0,Spurs,Rockets,Spurs,203991.0,2200.0,201988.0,Spurs
